JADWAL PERKULIAHAN SEMESTER GANJIL 2024/2025 ANGKATAN 2022,,,,,,,,,
,,,,,,,,,
Kelas: TI22A (Regular),,Artificial Intelligence Class,,,,,,,
Kurikulum,Kode,Mata Kuliah,SKS,Hari,Jam,Ruang,Dosen,,
2023,IF31037,Etika Profesi,2,Rabu,16.00 - 17.40 (online),,"Harris Al Qodri Maarif, S.T., M.Sc. P. hD",,
2023,IF31038,Pengolahan Citra Digital,3,Jumat,16.00 - 18.30,,"Alun Sujjada, S.Kom, MT",,
,,,,,,,,,
Kelas : TI22I(International),,Artificial Intelligence Class,,,,,,,
Kurikulum,Kode,Mata Kuliah,SKS,Hari,Jam,Ruang,Dosen,,
2023,IF31025,Computer Vision,2,Senin,08.00 - 09.40,Offline / Cek Siakad,"Ivana Lucia Kharisma, M.Kom",,
2023,IF31026,Data Science,2,Selasa,10.30 - 12.10,,Dr. Huang Gan,,
2023,IF31027,Deep Learning,2,Selasa,13.00 - 14.40,,Dr. Huang Gan,,
2023,IF12008,Basis Data,3,Kamis,16.00 - 18.30,,"Falentino Sembiring, M.Kom",,
2023,IF31035,Proyek Perangkat Lunak,3,Kamis,08.00 - 10.30,,"Anggun Fergina, M.Kom",,
2023,IF31036,Metodologi Penelitian,3,Jumat,13.00 - 15.30,,"Ir. Somantri S.T., M.Kom",,
2023,IF31037,Etika Profesi,2,Jumat,16.00 - 17.40 (online),,"Harris Al Qodri Maarif, S.T., M.Sc. P. hD",,
2023,IF31038,Pengolahan Citra Digital,3,Selasa,16.00 - 18.30,,"Mega Lumbia Octavia Sinaga, M.Kom",,
,,,,,,,,,
Kelas : TI22T(International),,Computer Networking Class,,,,,,,
Kurikulum,Kode,Mata Kuliah,SKS,Hari,Jam,Ruang,Dosen,,
2023,IF31028,Cyber Security,2,Kamis,10.30 - 12.10,Offline / Cek Siakad,"Ir. Somantri S.T., M.Kom",,
2023,IF31029,Teknologi Blockchain,2,Selasa,16.00 - 17.40,,"Falentino Sembiring, M.Kom",,
2023,IF31030,Big Data Architecture and Infrastructure,2,Jumat,13.00 - 14.40,,Dr. Huang Gan,,
2023,IF12008,Basis Data,3,Rabu,13.00 - 15.30,,"Anggun Fergina, M.Kom",,
2023,IF31035,Proyek Perangkat Lunak,3,Kamis,13.00 - 15.30 (online),,"Harris Al Qodri Maarif, S.T., M.Sc. P. hD",,
2023,IF31036,Metodologi Penelitian,3,Kamis,16.00 - 18.30,,"Gina Purnama Insany, S.Si.T., M.Kom",,
2023,IF31037,Etika Profesi,2,Jumat,16.00 - 17.40 (online),,"Indra Yustiana, S.T., M.Kom",,
2023,IF31038,Pengolahan Citra Digital,3,Rabu,16.00 - 18.30,,"Mega lumbia Octavia Sinaga, M.Kom",,
,,,,,,,,,
Kelas : TI22M(Karyawan Malam),,Software Networking Class,,,,,,,
Kurikulum,Kode,Mata Kuliah,SKS,Hari,Jam,Ruang,Dosen,,
2023,IF31032,Pengembangan Aplikasi Berbasis Web,2,Kamis,19.00 - 20.00,Offline / Cek Siakad,"Alun Sujjada, M.Kom",,
2023,IF31033,Pemrograman Perangkat Mobile,2,Senin,20.00 - 21.00,,"Nugraha, M.Kom",,
2023,IF31031,Sistem Informasi Geografis,2,Rabu,18.30 - 19.30,,"Ir. Somantri S.T., M.Kom",,
2023,IF12008,Basis Data,3,Jumat,18.30 - 20.00,,"Shinta Ayuningtyas, M.Kom",,
2023,IF31035,Proyek Perangkat Lunak,3,Selasa,20.00 - 21.30 (online),,"Harris Al Qodri Maarif, S.T., M.Sc. P. hD",,
2023,IF31036,Metodologi Penelitian,3,Selasa,18.30 - 20.00,,"Gina Purnama Insany, S.SiT.,M.Kom",,
2023,IF31037,Etika Profesi,2,Jumat,20.00 - 21.00 (online),,"Indra Yustiana, S.T., M.Kom",,
2023,IF31038,Pengolahan Citra Digital,3,Senin,18.30 - 20.00,,"Moneyta Dholah Rosita, M.kom",,
,,,,,,,,,
Kelas : TI22B (Karyawan Sabtu),,,Computer Networking Class,,,,,,
Kurikulum,Kode,Mata Kuliah,SKS,Hari,Jam,Ruang,Dosen,,
2023,IF31028,Cyber Security,2,Sabtu,16.00 - 17.00,,"Ir. Somantri, ST., M.Kom",,
2023,IF31029,Teknologi Blockchain,2,Sabtu,14.30 - 15.30,,"Falentino Sembiring, M.Kom",,
2023,IF31030,Big Data Architecture and Infrastructure,2,Sabtu,17.00 - 18.00,,"Ir. Somantri, ST., M.Kom",,
2023,IF12008,Basis Data,3,Sabtu,13.00 - 14.30,,"Shinta Ayuningtyas, M.Kom",,
2023,IF31035,Proyek Perangkat Lunak,3,Sabtu,online,,"Indra Yustiana, S.T., M.Kom",,
2023,IF31036,Metodologi Penelitian,3,Sabtu,online,,"Gina Purnama Insany, S.SiT.,M.Kom",,
,IF31037,Etika Profesi,2,Sabtu,online,, Dr. Deni Hasman,,
2023,IF31038,Pengolahan Citra Digital,3,Sabtu,18.30 - 20.00,,"Muchtar Ali Setyo Yudono, S.T. M.T",,
,,,,,,,,,
Kelas : TI22C (Karyawan Minggu),,,Artificial Intelligence Class,,,,,,
Kurikulum,Kode,Mata Kuliah,SKS,Hari,Jam,Ruang,Dosen,,
2023,IF31025,Computer Vision,2,Minggu,16.00 - 17.00,,"Zaenal Alamsyah, M.Kom",,
2023,IF31026,Data Science,2,Minggu,11.00 - 12.00,,"Gina Purnama Insany, S.Si.T., M.Kom",,
2023,IF31027,Deep Learning,2,Minggu,13.00 - 14.00,,"Muchtar Ali Setyo Yudono, S.T. M.T",,
2023,IF12008,Basis Data,3,Minggu,09.30 - 11.00,,"Shinta Ayuningtyas, M.Kom",,
2023,IF31035,Proyek Perangkat Lunak,3,Minggu,17.00 - 18.30 (online),,"Indra Yustiana, S.T., M.Kom// dosen baru",,
2023,IF31036,Metodologi Penelitian,3,Minggu,14.00 - 15.30,,"Ir. Somantri, ST., M.Kom",,
2023,IF31037,Etika Profesi,2,Minggu,19.00 - 20.30 (online),,"Indra Yustiana, S.T., M.Kom",,
